t,bpm
0,100
1,102
2,103
3,105
4,106
5,107
6,108
7,109
8,110
9,112
10,112
11,112
12,113
13,114
14,114
15,113
16,111
17,113
18,114
19,116
20,116
21,116
22,118
23,118
24,118
25,119
26,120
27,119
28,120
29,121
30,121
31,119
32,118
33,128
34,147
35,156
36,157
37,156
38,156
39,157
40,158
41,159
42,160
43,160
44,162
45,161
46,161
47,160
48,161
49,159
50,159
51,158
52,158
53,157
54,156
55,154
56,154
57,155
58,153
59,150
60,149
61,148
62,148
63,148
64,149
65,150
66,149
67,149
68,150
69,150
70,150
71,150
72,153
73,157
74,162
75,165
76,165
77,165
78,165
79,165
80,166
81,167
82,167
83,166
84,166
85,165
86,166
87,165
88,163
89,163
90,163
91,162
92,162
93,161
94,159
95,158
96,158
97,161
98,161
99,161
100,162
101,160
102,157
103,157
104,157
105,157
106,155
107,154
108,153
109,153
110,153
111,153
112,152
113,152
114,151
115,150
116,150
117,150
118,151
119,151
120,150
121,150
122,150
123,149
124,149
125,148
126,149
127,150
128,152
129,153
130,154
131,153
132,153
133,153
134,152
135,152
136,152
137,151
138,150
139,149
140,148
141,148
142,147
143,146
144,145
145,145
146,146
147,148
148,148
149,147
150,148
151,148
152,148
153,147
154,147
155,146
156,146
157,145
158,144
159,144
160,143
161,143
162,143
163,142
164,142
165,141
166,140
167,138
168,138
169,138
170,139
171,138
172,138
173,137
174,137
175,139
176,138
177,138
178,138
179,140
180,155
181,163
182,162
183,158
184,157
185,156
186,157
187,159
188,158
189,157
190,157
191,159
192,160
193,161
194,162
195,161
196,161
197,162
198,162
199,163
200,164
201,162
202,162
203,163
204,163
205,163
206,163
207,162
208,164
209,166
210,167
211,168
212,168
213,167
214,166
215,165
216,166
217,167
218,168
219,167
220,167
221,167
222,168
223,168
224,169
225,168
226,167
227,166
228,166
229,166
230,166
231,170
232,171
233,170
234,169
235,167
236,166
237,166
238,165
239,164
240,164
241,163
242,163
243,164
244,166
245,169
246,169
247,170
248,169
249,168
250,168
251,169
252,173
253,175
254,178
255,175
256,176
257,176
258,177
259,178
260,178
261,177
262,178
263,178
264,178
265,181
266,181
267,179
268,179
269,178
270,178
271,175
272,176
273,176
274,176
275,175
276,175
277,176
278,175
279,175
280,175
281,177
282,180
283,181
284,180
285,179
286,180
287,180
288,179
289,179
290,179
291,179
292,180
293,181
294,181
295,180
296,180
297,181
298,181
299,182
300,183
301,184
302,183
303,182
304,182
305,182
306,182
307,182
309,181
309,181
310,182
312,182
312,182
314,181
315,181
316,180
317,181
318,180
319,181
320,179
321,178
322,178
323,178
324,178
325,178
326,178
327,178
328,178
329,179
330,180
331,180
332,180
333,179
334,177
335,177
336,177
337,177
338,176
339,176
340,176
341,175
342,174
343,174
344,174
345,175
346,174
347,174
348,175
349,174
350,174
351,175
352,175
353,174
354,175
355,175
356,174
357,175
358,175
359,175
360,175
361,176
362,176
363,176
364,175
365,175
366,175
367,175
368,174
369,174
370,174
371,174
372,174
373,174
374,173
375,172
376,172
377,172
378,172
379,173
380,172
381,173
382,172
383,172
384,173
385,173
386,172
387,172
388,171
389,171
390,170
391,170
392,170
393,171
394,170
395,169
396,168
397,169
398,168
399,167
400,165
401,165
402,164
403,163
404,164
405,166
406,165
407,165
408,165
409,166
410,168
411,170
412,171
413,171
414,169
415,167
416,166
417,167
418,167
419,167
420,168
421,169
422,171
423,176
424,180
425,182
426,182
427,183
428,185
429,186
430,188
431,186
432,184
433,183
434,182
435,182
436,182
437,182
438,182
439,181
440,180
441,179
442,180
443,181
444,183
445,182
446,182
447,182
448,181
449,180
450,179
451,178
452,177
453,176
454,176
455,174
456,174
457,174
458,172
459,171
460,170
461,170
462,170
463,169
464,168
465,167
466,166
467,166
468,165
469,163
470,161
471,161
472,160
473,159
474,158
475,157
476,157
477,156
478,156
479,156
480,156
481,155
482,155
483,155
484,155
485,154
486,155
487,154
488,155
489,155
490,154
491,155
492,154
493,154
494,153
495,153
496,153
497,153
498,153
499,153
500,152
501,152
502,153
503,153
504,153
505,154
506,156
507,157
508,157
509,157
510,158
511,158
512,159
513,159
514,159
515,159
516,160
517,161
518,162
519,162
520,162
521,162
522,162
523,161
524,161
525,161
526,161
527,162
528,164
529,164
530,165
531,164
532,164
533,164
534,166
535,170
536,169
537,169
538,168
539,167
540,167
541,167
542,166
543,165
544,165
545,165
546,164
547,165
548,165
549,166
550,166
551,167
552,169
553,169
554,168
555,168
556,168
557,169
558,169
559,169
560,171
561,171
562,171
563,171
564,171
565,171
566,170
567,169
568,170
569,170
570,169
571,169
572,169
573,167
574,167
575,166
576,166
577,166
578,168
579,171
580,172
581,172
582,171
583,170
584,171
585,173
586,172
587,172
588,172
589,172
590,173
591,173
592,171
593,170
594,169
595,171
596,174
597,175
598,174
599,175
600,177
601,178
602,176
603,176
604,176
605,176
606,176
607,177
608,177
609,177
610,176
611,177
612,177
613,178
614,178
615,178
616,177
617,176
618,176
619,176
620,177
621,178
622,177
623,177
624,176
625,175
626,175
627,175
628,175
629,175
630,175
631,175
632,176
633,175
634,176
635,175
636,175
637,174
638,175
639,175
640,174
641,174
642,173
643,173
644,172
645,173
646,172
